Date,Price,Open,High,Low,Vol.,Change %
11/13/2007,1120.29,1126,1126,1105.36,247.16M,-0.51%
11/12/2007,1126,1115.09,1129.37,1103.75,209.55M,0.98%
11/09/2007,1115.09,1145.49,1152.63,1111.55,258.05M,-2.65%
11/08/2007,1145.49,1150.38,1151.37,1128.87,282.17M,-0.43%
11/07/2007,1150.38,1163.21,1171.14,1143.58,199.49M,-1.10%
11/06/2007,1163.21,1157.55,1171.65,1157.55,238.74M,0.49%
11/05/2007,1157.55,1153.22,1158.69,1143.71,214.86M,0.38%
11/02/2007,1153.22,1168.49,1168.49,1148.74,122.33M,-1.31%
11/01/2007,1168.49,1183.2,1187.14,1157.38,237.18M,-1.24%
10/31/2007,1183.2,1170.35,1183.67,1162.98,256.17M,1.10%
10/30/2007,1170.35,1176.62,1176.62,1164.36,228.30M,-0.53%
10/29/2007,1176.62,1173.31,1183.53,1172.72,224.28M,0.28%
10/26/2007,1173.31,1172.48,1180.66,1158.53,403.21M,0.07%
10/25/2007,1172.48,1158.83,1179.76,1158.83,341.28M,1.18%
10/24/2007,1158.83,1175.39,1181.74,1154.85,322.35M,-1.41%
10/23/2007,1175.39,1145.87,1178.99,1145.87,350.12M,2.58%
10/22/2007,1145.87,1169.69,1169.69,1138.17,386.00M,-2.04%
10/19/2007,1169.69,1187.36,1187.36,1167.93,349.92M,-1.49%
10/18/2007,1187.36,1206.86,1209.7,1183.52,524.59M,-1.62%
10/17/2007,1206.86,1203.95,1213.64,1198.76,618.60M,0.24%
10/16/2007,1203.95,1249.65,1249.65,1192.7,2.30B,-3.66%
10/15/2007,1249.65,1260.3,1261.45,1245.65,175.69M,-0.85%
10/12/2007,1260.3,1267.7,1267.7,1248.22,175.34M,-0.58%
10/11/2007,1267.7,1260.4,1274.23,1258.88,282.68M,0.58%
10/10/2007,1260.4,1258.59,1263.52,1255.81,209.74M,0.14%
10/09/2007,1258.59,1251.79,1258.64,1245.67,196.06M,0.54%
10/08/2007,1251.79,1257.7,1261.8,1248.51,175.39M,-0.47%
10/05/2007,1257.7,1243.64,1260.36,1239.99,275.52M,1.13%
10/04/2007,1243.64,1241.77,1245.6,1230.68,179.46M,0.15%
10/03/2007,1241.77,1235.87,1245.01,1233.14,273.34M,0.48%
10/02/2007,1235.87,1229.3,1245.24,1229.3,238.08M,0.53%
10/01/2007,1229.3,1221.54,1230.46,1211.13,174.22M,0.64%
09/28/2007,1221.54,1217.24,1221.54,1211.86,232.09M,0.35%
09/27/2007,1217.24,1196.66,1223.81,1196.66,261.82M,1.72%
09/26/2007,1196.66,1184.49,1198.98,1184.49,174.54M,1.03%
09/25/2007,1184.49,1198.5,1198.5,1177.81,232.52M,-1.17%
09/24/2007,1198.5,1212.54,1212.54,1198.5,229.89M,-1.16%
09/21/2007,1212.54,1208.32,1215.61,1203.42,225.86M,0.35%
09/20/2007,1208.32,1221.77,1221.77,1200.27,327.60M,-1.10%
09/19/2007,1221.77,1178.97,1221.95,1178.97,324.56M,3.63%
09/18/2007,1178.96,1160.75,1180.51,1155.29,232.40M,1.57%
09/17/2007,1160.74,1179.76,1179.76,1155.25,179.07M,-1.61%
09/14/2007,1179.76,1196.63,1196.63,1173.46,228.83M,-1.41%
09/13/2007,1196.62,1180.6,1198.64,1170.84,297.10M,1.36%
09/12/2007,1180.6,1172.42,1180.6,1163.03,338.91M,0.70%
09/11/2007,1172.42,1147.2,1173.82,1147.2,317.80M,2.20%
09/10/2007,1147.2,1159.95,1168.64,1143.72,227.55M,-1.10%
09/07/2007,1159.95,1190.67,1193.06,1155.06,293.49M,-2.58%
09/06/2007,1190.67,1197.64,1207.51,1185.15,237.00M,-0.58%
09/05/2007,1197.63,1226.08,1228.06,1197.64,249.90M,-2.32%
09/04/2007,1226.08,1222.31,1226.6,1210.5,188.88M,0.31%
09/03/2007,1222.31,1213.24,1222.48,1213.24,,0.75%
08/31/2007,1213.24,1201.1,1214.59,1198.49,221.40M,1.01%
08/30/2007,1201.1,1187.27,1202.43,1179.68,261.02M,1.16%
08/29/2007,1187.27,1170.89,1188.03,1156.65,217.19M,1.40%
08/28/2007,1170.89,1200.75,1201.57,1170.59,204.40M,-2.49%
08/27/2007,1200.75,1209.81,1217,1200.09,110.65M,-0.75%
08/24/2007,1209.81,1197.82,1213.51,1189.36,175.56M,1.00%
08/23/2007,1197.82,1191.99,1206.1,1191.99,188.68M,0.49%
08/22/2007,1191.99,1170.25,1191.99,1170.25,176.18M,1.86%
08/21/2007,1170.25,1176.22,1182.46,1157.14,220.60M,-0.51%
08/20/2007,1176.22,1163.21,1187.1,1163.21,221.53M,1.12%
08/17/2007,1163.21,1145.43,1178.78,1127.79,403.50M,1.55%
08/16/2007,1145.43,1183.45,1183.45,1138.17,442.89M,-3.21%
08/15/2007,1183.45,1193.77,1193.77,1169.68,220.12M,-0.86%
08/14/2007,1193.77,1205.45,1211.32,1191.51,183.63M,-0.97%
08/13/2007,1205.45,1170.08,1206.05,1170.08,209.76M,3.02%
08/10/2007,1170.08,1209.93,1209.93,1163.35,335.76M,-3.29%
08/09/2007,1209.93,1243.49,1243.61,1198.43,340.04M,-2.70%
08/08/2007,1243.49,1216.57,1243.49,1216.57,203.51M,2.21%
08/07/2007,1216.57,1203.84,1225.13,1203.84,177.38M,1.06%
08/06/2007,1203.84,1220.76,1220.76,1198.86,204.67M,-1.39%
08/03/2007,1220.76,1235.86,1241.86,1217.48,257.52M,-1.22%
08/02/2007,1235.86,1221.08,1242.94,1221.08,233.44M,1.21%
08/01/2007,1221.08,1243.87,1243.87,1207.04,232.44M,-1.83%
07/31/2007,1243.87,1228.39,1245.39,1228.39,246.15M,1.26%
07/30/2007,1228.39,1215.46,1231.97,1213.75,220.27M,1.06%
07/27/2007,1215.46,1212.34,1229.71,1200.64,302.62M,0.26%
07/26/2007,1212.34,1255.25,1268.07,1211.1,300.50M,-3.42%
