"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2012","1,072.45","1,040.42","1,119.19","1,028.93","1.95B","2.73%"
"08/01/2012","1,043.93","1,067.69","1,093.74","1,033.02","1.76B","-2.27%"
"07/01/2012","1,068.16","1,020.59","1,071.41","1,009.32","1.87B","4.82%"
"06/01/2012","1,019.06","980.05","1,019.06","941.11","1.91B","4.41%"
"05/01/2012","975.98","1,069.67","1,071.42","955.01","2.11B","-7.89%"
"04/01/2012","1,059.62","1,075.29","1,088.84","1,004.57","2.28B","-1.38%"
"03/01/2012","1,074.48","1,098.05","1,127.54","1,054.46","2.29B","-2.48%"
"02/01/2012","1,101.76","1,034.71","1,113.45","1,034.71","2.23B","6.31%"
"01/01/2012","1,036.34","986.01","1,051.41","980.95","2.27B","4.91%"
"12/01/2011","987.85","978.47","992.03","927.47","2.01B","0.87%"
"11/01/2011","979.36","963.64","993.47","872.93","2.54B","-1.12%"
"10/01/2011","990.44","892.43","1,037.43","855.74","2.73B","8.82%"
"09/01/2011","910.17","956.84","966.08","833.03","2.94B","-4.66%"
"08/01/2011","954.63","1,081.16","1,087.18","851.14","3.94B","-10.44%"
"07/01/2011","1,065.97","1,117.35","1,142.11","1,052.07","2.05B","-4.42%"
"06/01/2011","1,115.23","1,154.09","1,161.49","1,048.47","2.12B","-3.14%"
"05/01/2011","1,151.36","1,167.10","1,175.08","1,126.05","2.27B","-0.99%"
"04/01/2011","1,162.84","1,136.87","1,163.06","1,105.01","1.93B","2.46%"
"03/01/2011","1,134.87","1,131.05","1,140.86","1,045.58","2.56B","0.55%"
"02/01/2011","1,128.66","1,150.54","1,156.20","1,085.06","2.49B","-1.62%"
"01/01/2011","1,147.22","1,161.58","1,182.56","1,136.42","1.96B","-0.72%"
"12/01/2010","1,155.57","1,112.67","1,169.46","1,111.77","1.77B","4.38%"
"11/01/2010","1,107.05","1,094.62","1,121.38","1,078.27","1.99B","1.63%"
"10/01/2010","1,089.32","1,087.45","1,119.19","1,061.98","2.26B","0.15%"
"09/01/2010","1,087.71","1,017.29","1,100.73","1,009.74","2.29B","7.51%"
"08/01/2010","1,011.70","1,052.11","1,083.90","982.52","2.00B","-3.40%"
"07/01/2010","1,047.26","992.78","1,068.70","975.49","2.22B","4.11%"
"06/01/2010","1,005.93","977.85","1,069.72","961.16","2.43B","2.58%"
"05/01/2010","980.63","1,049.54","1,062.88","923.13","3.21B","-6.95%"
"04/01/2010","1,053.88","1,026.67","1,077.47","1,025.69","2.92B","3.21%"
"03/01/2010","1,021.08","954.20","1,036.30","953.54","2.45B","7.78%"
"02/01/2010","947.39","952.82","975.25","919.39","2.60B","-0.66%"
"01/01/2010","953.71","951.72","986.00","934.66","2.43B","0.21%"
"12/01/2009","951.72","937.39","973.58","935.81","1.95B","1.66%"
"11/01/2009","936.19","942.34","976.86","916.79","2.37B","-0.90%"
"10/01/2009","944.67","896.40","950.89","859.88","3.16B","5.34%"
"09/01/2009","896.76","905.09","929.59","867.88","2.78B","-0.89%"
"08/01/2009","904.84","881.45","925.03","853.26","2.57B","2.58%"
"07/01/2009","882.05","795.92","884.12","766.71","2.51B","10.84%"
"06/01/2009","795.80","777.35","810.03","749.07","3.36B","2.49%"
