Date,Close/Last,Open,High,Low
10/16/2023,2220.07,2220.07,2269.04,2220.07
10/13/2023,2247.27,2256.25,2299.46,2191.46
10/12/2023,2243.88,2243.88,2269.59,2196.16
10/11/2023,2194.18,2194.18,2196.66,2168.25
10/10/2023,2137.11,2137.11,2140.37,2116.76
10/09/2023,2099.51,2099.51,2135.21,2099.34
10/06/2023,2112.55,2102.01,2119.15,2098.72
10/05/2023,2088.60,2088.60,2098.56,2070.21
10/04/2023,2074.61,2074.61,2089.71,2030.23
10/03/2023,2059.59,2059.59,2122.48,2057.27
10/02/2023,2090.78,2090.78,2130.33,2083.61
09/29/2023,2124.50,2147.46,2154.60,2124.50
09/28/2023,2133.46,2133.46,2142.46,2121.65
09/27/2023,2123.80,2123.80,2137.35,2117.43
09/26/2023,2130.97,2128.70,2145.29,2114.02
09/25/2023,2111.27,2111.27,2140.27,2107.52
09/22/2023,2129.09,2131.81,2140.77,2115.72
09/21/2023,2135.60,2135.60,2188.35,2132.36
09/20/2023,2185.94,2185.94,2201.88,2149.29
09/19/2023,2141.79,2141.79,2158.61,2129.99
09/18/2023,2153.74,2153.74,2176.71,2136.31
09/15/2023,2190.72,2217.22,2235.43,2190.72
09/14/2023,2226.84,2226.84,2226.84,2189.74
09/13/2023,2185.94,2185.94,2199.14,2153.32
09/12/2023,2198.63,2198.63,2223.81,2184.69
09/11/2023,2210.07,2210.07,2226.71,2194.46
09/08/2023,2198.90,2193.58,2215.38,2184.66
09/07/2023,2194.67,2194.67,2200.78,2167.26
09/06/2023,2177.63,2177.63,2182.35,2160.49
09/05/2023,2178.73,2178.73,2193.96,2171.99
09/01/2023,2179.05,2174.40,2206.07,2174.40
08/31/2023,2136.82,2136.82,2163.43,2136.75
08/30/2023,2159.76,2159.76,2194.18,2158.19
08/29/2023,2193.69,2193.37,2204.10,2177.22
08/28/2023,2185.20,2185.20,2190.80,2169.02
08/25/2023,2160.09,2159.96,2169.06,2155.30
08/24/2023,2176.20,2176.20,2196.89,2167.70
